"ProductID,ProductName,Category,DemandLevel,Criticality,ShelfLifeMonths,CategoryID,UnitPrice,PreferredSupplierType,ReorderLevel,SafetyStock"
"MED001,Paracetamol 500 mg Tablet,Analgesics,High,Medium,36,CAT007,43,Local,800,100"
"MED002,Paracetamol IV Infusion,Analgesics,High,Medium,36,CAT007,29,Local,800,100"
"MED003,Ibuprofen 400 mg Tablet,Analgesics,High,Medium,36,CAT007,22,Local,800,100"
"MED004,Diclofenac Sodium Injection,Analgesics,High,Medium,36,CAT007,35,Local,800,100"
"MED005,Diclofenac Tablet,Analgesics,High,Medium,36,CAT007,33,Local,800,100"
"MED006,Ketorolac Injection,Analgesics,High,Medium,36,CAT007,37,Local,800,100"
"MED007,Tramadol Injection,Analgesics,High,Medium,36,CAT007,25,Local,800,100"
"MED008,Morphine Injection,Analgesics,High,Medium,36,CAT007,25,Local,800,100"
"MED009,Aspirin 81 mg Tablet,Analgesics,High,Medium,36,CAT007,38,Local,800,100"
"MED010,Aspirin 300 mg Tablet,Analgesics,High,Medium,36,CAT007,38,Local,800,100"
"MED011,Amoxicillin 500 mg,Antibiotics,High,High,24,CAT001,210,Imported,800,200"
"MED012,Amoxicillin-Clavulanate,Antibiotics,High,High,24,CAT001,229,Imported,800,200"
"MED013,Ceftriaxone 1 g,Antibiotics,High,High,24,CAT001,388,Imported,800,200"
"MED014,Cefotaxime,Antibiotics,High,High,24,CAT001,337,Imported,800,200"
"MED015,Cefuroxime,Antibiotics,High,High,24,CAT001,423,Imported,800,200"
"MED016,Azithromycin,Antibiotics,High,High,24,CAT001,493,Imported,800,200"
"MED017,Clarithromycin,Antibiotics,High,High,24,CAT001,373,Imported,800,200"
"MED018,Ciprofloxacin,Antibiotics,High,High,24,CAT001,465,Imported,800,200"
"MED019,Levofloxacin,Antibiotics,High,High,24,CAT001,271,Imported,800,200"
"MED020,Metronidazole IV,Antibiotics,High,High,24,CAT001,356,Imported,800,200"
"MED021,Vancomycin,Antibiotics,Low,Critical,18,CAT001,240,Imported,150,300"
"MED022,Meropenem,Antibiotics,Low,Critical,18,CAT001,393,Imported,150,300"
"MED023,Imipenem,Antibiotics,Low,Critical,18,CAT001,101,Imported,150,300"
"MED024,Piperacillin/Tazobactam,Antibiotics,High,High,18,CAT001,332,Imported,800,200"
"MED025,Colistin,Antibiotics,Low,Critical,18,CAT001,315,Imported,150,300"
"MED026,Regular Insulin,Diabetes,Medium,Critical,24,CAT005,610,Imported,400,300"
"MED027,NPH Insulin,Diabetes,Medium,Critical,24,CAT005,524,Imported,400,300"
"MED028,Insulin Glargine,Diabetes,Medium,Critical,24,CAT005,108,Imported,400,300"
"MED029,Metformin 500 mg,Diabetes,Medium,Critical,24,CAT005,560,Imported,400,300"
"MED030,Metformin 850 mg,Diabetes,Medium,Critical,24,CAT005,731,Imported,400,300"
"MED031,Gliclazide,Diabetes,Medium,Critical,24,CAT005,525,Imported,400,300"
"MED032,Glimepiride,Diabetes,Medium,Critical,24,CAT005,749,Imported,400,300"
"MED033,Glibenclamide,Diabetes,Medium,Critical,24,CAT005,239,Imported,400,300"
"MED034,Sitagliptin,Diabetes,Medium,Critical,24,CAT005,736,Imported,400,300"
"MED035,Empagliflozin,Diabetes,Medium,Critical,24,CAT005,612,Imported,400,300"
