"InventoryID,HospitalID,HospitalName,ProductID,ProductName,Category,WarehouseZone,StorageCondition,BatchNumber,ManufacturingDate,ExpiryDate,CurrentStock,MinStock,MaxStock"
"INV00001,H001,Benha Teaching Hospital,MED001,Paracetamol 500 mg Tablet,Analgesics,C,Room Temperature,B210268,2024-03-12,2027-03-12,4833,1600,5439"
"INV00002,H001,Benha Teaching Hospital,MED002,Paracetamol IV Infusion,Analgesics,A,Room Temperature,B187498,2024-11-26,2027-11-26,3800,1600,4514"
"INV00003,H001,Benha Teaching Hospital,MED003,Ibuprofen 400 mg Tablet,Analgesics,A,Room Temperature,B429365,2024-05-10,2027-05-10,2316,1600,3479"
"INV00004,H001,Benha Teaching Hospital,MED004,Diclofenac Sodium Injection,Analgesics,C,Room Temperature,B203355,2024-07-10,2027-07-10,4003,1600,5308"
"INV00005,H001,Benha Teaching Hospital,MED005,Diclofenac Tablet,Analgesics,B,Room Temperature,B358795,2024-09-09,2027-09-09,2908,1600,3429"
"INV00006,H001,Benha Teaching Hospital,MED006,Ketorolac Injection,Analgesics,A,Room Temperature,B249503,2024-06-18,2027-06-18,3648,1600,4658"
"INV00007,H001,Benha Teaching Hospital,MED007,Tramadol Injection,Analgesics,A,Room Temperature,B691723,2024-06-23,2027-06-23,3455,1600,4912"
"INV00008,H001,Benha Teaching Hospital,MED008,Morphine Injection,Analgesics,A,Room Temperature,B665894,2024-11-02,2027-11-02,4824,1600,5808"
"INV00009,H001,Benha Teaching Hospital,MED009,Aspirin 81 mg Tablet,Analgesics,C,Room Temperature,B339931,2024-03-29,2027-03-29,2281,1600,3168"
"INV00010,H001,Benha Teaching Hospital,MED010,Aspirin 300 mg Tablet,Analgesics,A,Room Temperature,B877089,2024-02-22,2027-02-22,2529,1600,3374"
"INV00011,H001,Benha Teaching Hospital,MED011,Amoxicillin 500 mg,Antibiotics,C,Room Temperature,B996942,2024-09-20,2026-09-20,2406,1600,3333"
"INV00012,H001,Benha Teaching Hospital,MED012,Amoxicillin-Clavulanate,Antibiotics,C,Room Temperature,B905889,2024-12-25,2026-12-25,2647,1600,3708"
"INV00013,H001,Benha Teaching Hospital,MED013,Ceftriaxone 1 g,Antibiotics,C,Room Temperature,B371836,2024-11-05,2026-11-05,4246,1600,5517"
"INV00014,H001,Benha Teaching Hospital,MED014,Cefotaxime,Antibiotics,A,Room Temperature,B323165,2024-07-20,2026-07-20,4004,1600,4665"
"INV00015,H001,Benha Teaching Hospital,MED015,Cefuroxime,Antibiotics,C,Room Temperature,B453531,2024-08-02,2026-08-02,4299,1600,5069"
"INV00016,H001,Benha Teaching Hospital,MED016,Azithromycin,Antibiotics,B,Room Temperature,B567281,2024-08-24,2026-08-24,4823,1600,6042"
