"InventoryID,HospitalID,HospitalName,ProductID,ProductName,Category,WarehouseZone,StorageCondition,BatchNumber,ManufacturingDate,ExpiryDate,CurrentStock,MinStock,MaxStock"
"INV00001,H001,Benha Teaching Hospital,MED001,Paracetamol 500 mg Tablet,Analgesics,C,Room Temperature,B210268,2024-03-12,2027-03-12,12756,1600,5439"
"INV00002,H001,Benha Teaching Hospital,MED002,Paracetamol IV Infusion,Analgesics,A,Room Temperature,B187498,2024-11-26,2027-11-26,11072,1600,4514"
"INV00003,H001,Benha Teaching Hospital,MED003,Ibuprofen 400 mg Tablet,Analgesics,A,Room Temperature,B429365,2024-05-10,2027-05-10,10322,1600,3479"
"INV00004,H001,Benha Teaching Hospital,MED004,Diclofenac Sodium Injection,Analgesics,C,Room Temperature,B203355,2024-07-10,2027-07-10,11743,1600,5308"
"INV00005,H001,Benha Teaching Hospital,MED005,Diclofenac Tablet,Analgesics,B,Room Temperature,B358795,2024-09-09,2027-09-09,10851,1600,3429"
"INV00006,H001,Benha Teaching Hospital,MED006,Ketorolac Injection,Analgesics,A,Room Temperature,B249503,2024-06-18,2027-06-18,11492,1600,4658"
"INV00007,H001,Benha Teaching Hospital,MED007,Tramadol Injection,Analgesics,A,Room Temperature,B691723,2024-06-23,2027-06-23,11731,1600,4912"
"INV00008,H001,Benha Teaching Hospital,MED008,Morphine Injection,Analgesics,A,Room Temperature,B665894,2024-11-02,2027-11-02,12396,1600,5808"
"INV00009,H001,Benha Teaching Hospital,MED009,Aspirin 81 mg Tablet,Analgesics,C,Room Temperature,B339931,2024-03-29,2027-03-29,10166,1600,3168"
"INV00010,H001,Benha Teaching Hospital,MED010,Aspirin 300 mg Tablet,Analgesics,A,Room Temperature,B877089,2024-02-22,2027-02-22,10782,1600,3374"
"INV00011,H001,Benha Teaching Hospital,MED011,Amoxicillin 500 mg,Antibiotics,C,Room Temperature,B996942,2024-09-20,2026-09-20,10418,1600,3333"
"INV00012,H001,Benha Teaching Hospital,MED012,Amoxicillin-Clavulanate,Antibiotics,C,Room Temperature,B905889,2024-12-25,2026-12-25,11001,1600,3708"
"INV00013,H001,Benha Teaching Hospital,MED013,Ceftriaxone 1 g,Antibiotics,C,Room Temperature,B371836,2024-11-05,2026-11-05,11880,1600,5517"
"INV00014,H001,Benha Teaching Hospital,MED014,Cefotaxime,Antibiotics,A,Room Temperature,B323165,2024-07-20,2026-07-20,11717,1600,4665"
"INV00015,H001,Benha Teaching Hospital,MED015,Cefuroxime,Antibiotics,C,Room Temperature,B453531,2024-08-02,2026-08-02,11354,1600,5069"
"INV00016,H001,Benha Teaching Hospital,MED016,Azithromycin,Antibiotics,B,Room Temperature,B567281,2024-08-24,2026-08-24,12944,1600,6042"
"INV00017,H001,Benha Teaching Hospital,MED017,Clarithromycin,Antibiotics,A,Room Temperature,B532315,2024-09-08,2026-09-08,12144,1600,5074"
"INV00018,H001,Benha Teaching Hospital,MED018,Ciprofloxacin,Antibiotics,A,Room Temperature,B476896,2024-10-27,2026-10-27,9634,1600,3301"
"INV00019,H001,Benha Teaching Hospital,MED019,Levofloxacin,Antibiotics,A,Room Temperature,B236330,2024-03-03,2026-03-03,11317,1600,4695"
"INV00020,H001,Benha Teaching Hospital,MED020,Metronidazole IV,Antibiotics,A,Room Temperature,B234633,2024-09-17,2026-09-17,11251,1600,4420"
"INV00021,H001,Benha Teaching Hospital,MED021,Vancomycin,Antibiotics,A,Room Temperature,B130535,2024-07-19,2026-01-19,2405,300,1390"
"INV00022,H001,Benha Teaching Hospital,MED022,Meropenem,Antibiotics,C,Room Temperature,B747972,2024-03-02,2025-09-02,2457,300,1751"
"INV00023,H001,Benha Teaching Hospital,MED023,Imipenem,Antibiotics,C,Room Temperature,B301664,2024-02-04,2025-08-04,2741,300,2049"
"INV00024,H001,Benha Teaching Hospital,MED024,Piperacillin/Tazobactam,Antibiotics,A,Room Temperature,B723094,2024-01-05,2025-07-05,11405,1600,5223"
"INV00025,H001,Benha Teaching Hospital,MED025,Colistin,Antibiotics,C,Room Temperature,B318126,2024-07-25,2026-01-25,2931,300,1600"
"INV00026,H001,Benha Teaching Hospital,MED026,Regular Insulin,Diabetes,Cold Room,Cold Chain,B872838,2024-12-17,2026-12-17,5482,800,3222"
"INV00027,H001,Benha Teaching Hospital,MED027,NPH Insulin,Diabetes,Cold Room,Cold Chain,B835716,2024-08-09,2026-08-09,5030,800,2901"
"INV00028,H001,Benha Teaching Hospital,MED028,Insulin Glargine,Diabetes,Cold Room,Cold Chain,B264899,2024-01-29,2026-01-29,5224,800,2644"
"INV00029,H001,Benha Teaching Hospital,MED029,Metformin 500 mg,Diabetes,A,Room Temperature,B515515,2024-03-26,2026-03-26,5565,800,2592"
"INV00030,H001,Benha Teaching Hospital,MED030,Metformin 850 mg,Diabetes,C,Room Temperature,B981691,2024-05-13,2026-05-13,5914,800,3776"
"INV00031,H001,Benha Teaching Hospital,MED031,Gliclazide,Diabetes,C,Room Temperature,B388249,2024-05-07,2026-05-07,5480,800,2966"
"INV00032,H001,Benha Teaching Hospital,MED032,Glimepiride,Diabetes,C,Room Temperature,B554589,2024-10-09,2026-10-09,5800,800,2441"
"INV00033,H001,Benha Teaching Hospital,MED033,Glibenclamide,Diabetes,C,Room Temperature,B890180,2024-05-16,2026-05-16,4727,800,2286"
"INV00034,H001,Benha Teaching Hospital,MED034,Sitagliptin,Diabetes,B,Room Temperature,B979989,2024-11-10,2026-11-10,5176,800,2540"
"INV00035,H001,Benha Teaching Hospital,MED035,Empagliflozin,Diabetes,A,Room Temperature,B314283,2024-02-21,2026-02-21,6318,800,3494"
"INV00036,H001,Benha Teaching Hospital,MED036,Amlodipine,Cardiovascular,B,Room Temperature,B840976,2024-04-10,2027-04-10,6135,800,2849"
"INV00037,H001,Benha Teaching Hospital,MED037,Captopril,Cardiovascular,C,Room Temperature,B998613,2024-08-07,2027-08-07,4968,800,2337"
"INV00038,H001,Benha Teaching Hospital,MED038,Enalapril,Cardiovascular,B,Room Temperature,B937291,2024-02-22,2027-02-22,5040,800,2261"
"INV00039,H001,Benha Teaching Hospital,MED039,Losartan,Cardiovascular,A,Room Temperature,B481050,2024-07-02,2027-07-02,6112,800,2686"
"INV00040,H001,Benha Teaching Hospital,MED040,Valsartan,Cardiovascular,A,Room Temperature,B713333,2024-04-07,2027-04-07,5830,800,3372"
"INV00041,H001,Benha Teaching Hospital,MED041,Bisoprolol,Cardiovascular,C,Room Temperature,B710490,2024-05-03,2027-05-03,5458,800,2536"
"INV00042,H001,Benha Teaching Hospital,MED042,Metoprolol,Cardiovascular,B,Room Temperature,B418394,2024-09-08,2027-09-08,5690,800,3025"
"INV00043,H001,Benha Teaching Hospital,MED043,Atenolol,Cardiovascular,B,Room Temperature,B314835,2024-12-17,2027-12-17,5393,800,2677"
"INV00044,H001,Benha Teaching Hospital,MED044,Furosemide,Cardiovascular,B,Room Temperature,B373255,2024-12-03,2027-12-03,6048,800,3241"
"INV00045,H001,Benha Teaching Hospital,MED045,Spironolactone,Cardiovascular,A,Room Temperature,B654594,2024-10-24,2027-10-24,5490,800,3338"
"INV00046,H001,Benha Teaching Hospital,MED046,Hydrochlorothiazide,Cardiovascular,A,Room Temperature,B473616,2024-02-29,2027-02-28,5264,800,2843"
"INV00047,H001,Benha Teaching Hospital,MED047,Atorvastatin,Cardiovascular,B,Room Temperature,B391999,2024-02-06,2027-02-06,4991,800,2272"
"INV00048,H001,Benha Teaching Hospital,MED048,Rosuvastatin,Cardiovascular,A,Room Temperature,B690978,2024-07-26,2027-07-26,4614,800,2389"
"INV00049,H001,Benha Teaching Hospital,MED049,Clopidogrel,Cardiovascular,A,Room Temperature,B768234,2024-04-25,2027-04-25,5981,800,3310"
